189, 4
210, 5
21, 3
197, 3
252, 5
7, 2
48, 1
167, 3
5, 2
55, 2
202, 3
226, 4
200, 3
225, 4
20, 3
105, 1
159, 4
233, 3
1, 2
287, 5
246, 0
113, 1
314, 0
107, 1
67, 2
198, 3
49, 3
63, 2
248, 5
290, 5
45, 1
43, 1
238, 3
234, 3
124, 1
171, 3
122, 1
127, 1
62, 2
203, 3
129, 1
120, 1
313, 0
271, 3
79, 1
157, 0
247, 0
317, 0
100, 5
116, 1
56, 2
66, 2
215, 5
4, 2
168, 3
85, 1
288, 5
250, 5
301, 4
81, 1
123, 1
57, 2
8, 2
178, 1
134, 1
126, 1
284, 5
289, 5
132, 1
9, 2
26, 1
98, 5
274, 3
214, 0
32, 2
115, 1
283, 5
222, 4
282, 5
299, 4
106, 1
86, 1
170, 3
82, 1
315, 0
97, 5
80, 1
131, 1
36, 2
89, 1
270, 3
312, 0
212, 5
60, 2
261, 4
304, 4
2, 2
84, 1
249, 5
213, 0
251, 5
166, 1
162, 1
188, 4
130, 1
117, 1
199, 3
318, 0
35, 2
114, 1
169, 0
27, 1
153, 4
302, 0
165, 1
